record_type,event_id,event_name,generated_at,scheduled_date,tour,surface,best_of,fav_player_id,fav_name,fav_final_win_pct,fav_sim_win_pct,fav_elo_win_pct,fav_elo_rank,fav_elo_percentile,fav_serve_percentile,fav_return_percentile,fav_low_sample,fav_proj_games_won,fav_proj_games_lost,fav_proj_aces,fav_proj_dfs,fav_proj_1stIn_pct,fav_proj_1stWon_pct,fav_proj_2ndWon_pct,fav_proj_ret_won_pct,fav_proj_bp_faced,fav_proj_bp_saved,fav_ml_odds,fav_ml_book,fav_chart_elo_overall_pctile,fav_chart_elo_overall_rank,fav_chart_elo_overall_rank_qualified,fav_chart_elo_surface_rank,fav_chart_elo_surface_rank_qualified,tour_pool_size,fav_chart_elo_surface_pctile,fav_chart_svc_games_won_pctile,fav_chart_ret_games_won_pctile,fav_chart_aces_per_match_pctile,fav_chart_dfs_per_match_pctile,fav_chart_1st_serve_won_pctile,fav_chart_2nd_serve_won_pctile,fav_chart_bp_saved_pctile,fav_chart_sample_svpt,dog_player_id,dog_name,dog_final_win_pct,dog_sim_win_pct,dog_elo_win_pct,dog_elo_rank,dog_elo_percentile,dog_serve_percentile,dog_return_percentile,dog_low_sample,dog_proj_games_won,dog_proj_games_lost,dog_proj_aces,dog_proj_dfs,dog_proj_1stIn_pct,dog_proj_1stWon_pct,dog_proj_2ndWon_pct,dog_proj_ret_won_pct,dog_proj_bp_faced,dog_proj_bp_saved,dog_ml_odds,dog_ml_book,dog_chart_elo_overall_pctile,dog_chart_elo_overall_rank,dog_chart_elo_overall_rank_qualified,dog_chart_elo_surface_rank,dog_chart_elo_surface_rank_qualified,dog_chart_elo_surface_pctile,dog_chart_svc_games_won_pctile,dog_chart_ret_games_won_pctile,dog_chart_aces_per_match_pctile,dog_chart_dfs_per_match_pctile,dog_chart_1st_serve_won_pctile,dog_chart_2nd_serve_won_pctile,dog_chart_bp_saved_pctile,dog_chart_sample_svpt,proj_total_games,proj_total_games_raw,market_total_line,market_total_over_odds,market_total_under_odds,market_spread_line,market_spread_fav_odds,market_spread_dog_odds,hard_low_sample_flag,market,pick_side,pick_odds,pick_book,fav_odds,fav_model_prob,fav_market_prob,dog_odds,dog_model_prob,dog_market_prob,line,edge,grade,meets_threshold
MATCH,236738060,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T17:20:00Z,WTA,Hard,3.0,84543.0,Emma Navarro,0.5855,0.5557084244491189,0.5535,37.0,93.9,61.2,70.2,False,12.419,11.677,2.99,4.97,0.6381,0.6124,0.4782,0.4316,11.313,5.872,-200.0,BetanoBR,94.9,31.0,True,55.0,True,588.0,90.8,75.3,70.2,66.7,27.5,61.2,79.4,30.0,3159.0,77058.0,Anhelina Kalinina,0.4145,0.44429157555088106,0.4465,69.0,88.4,48.7,89.5,False,11.677,12.419,1.91,3.67,0.714,0.5974,0.4503,0.4538,11.728,5.923,150.0,Caesars,89.1,65.0,True,82.0,True,86.2,66.8,89.5,43.5,57.3,48.7,64.5,10.6,1324.0,21.98,22.46,21.5,-120.0,-117.5,3.5,-110.0,-130.0,False,,,,,,,,,,,,,,
BESTBET,236738060,,,,,,,,Emma Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anhelina Kalinina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Anhelina Kalinina,140.0,Caesars,-200.0,0.5855465199168672,0.6153846153846154,140.0,0.41445348008313276,0.38461538461538464,,0.016275324800589915,D,False
BESTBET,236738060,,,,,,,,Emma Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anhelina Kalinina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Anhelina Kalinina +3.5,-130.0,BetMGM,-107.5,0.3748,0.47823984526112184,-130.0,0.6252,0.5217601547388782,3.5,0.022986632280249296,D,False
BESTBET,236738060,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-120.0,BetMGM,-120.0,0.5056,0.5048923679060665,-115.0,0.49439999999999995,0.4951076320939335,21.5,0.00012306645111889603,D,False
MATCH,236738070,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-16T16:00:00Z,WTA,Hard,3.0,80383.0,Elena Rybakina,0.7692,0.8183178344375327,0.8064,2.0,99.8,99.5,63.5,False,13.352,8.943,7.03,2.54,0.5995,0.7358,0.515,0.4249,5.571,3.58,-350.0,BetanoBR,99.7,3.0,True,2.0,True,588.0,99.8,99.4,63.5,98.8,75.0,99.5,93.0,36.7,7718.0,81334.0,Taylor Townsend,0.2308,0.1816821655624673,0.1936,39.0,93.5,90.8,64.0,False,8.943,13.352,4.64,2.4,0.7122,0.671,0.4957,0.4251,9.071,4.982,260.0,Caesars,92.9,43.0,True,31.0,True,94.9,97.6,64.0,90.6,82.5,90.8,86.9,36.4,2927.0,21.71,21.92,21.5,-121.5,-115.0,4.5,-110.0,-130.0,False,,,,,,,,,,,,,,
BESTBET,236738070,,,,,,,,Elena Rybakina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Townsend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Elena Rybakina,-380.0,BetanoUK,-380.0,0.7692172262566672,0.7201166180758016,225.0,0.23078277374333278,0.27988338192419826,,0.026782149916835776,D,False
BESTBET,236738070,,,,,,,,Elena Rybakina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Townsend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Elena Rybakina -4.5,-105.0,Caesars,-105.0,0.5779,0.47415390617380276,-131.5,0.42210000000000003,0.5258460938261973,4.5,0.023054687516932723,D,False
BESTBET,236738070,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 21.5,-115.0,BetMGM,-118.0,0.4517,0.5029738302934179,-115.0,0.5483,0.4970261697065821,21.5,0.00891718787711616,D,False
MATCH,236738080,"ATP Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,ATP,Hard,3.0,83892.0,Matteo Arnaldi,0.5021,0.5392565690292335,0.5434,67.0,86.7,57.9,48.3,False,13.238,13.056,6.07,3.24,0.5921,0.7023,0.4881,0.3416,5.439,3.646,105.0,DraftKings,87.1,65.0,True,70.0,True,497.0,86.1,49.7,48.3,66.0,38.2,57.9,45.5,51.8,2795.0,247363.0,Martin Landaluce,0.4979,0.46074343097076653,0.4566,110.0,78.1,72.4,73.0,False,13.056,13.238,4.93,4.08,0.6237,0.7231,0.5073,0.3632,5.612,3.729,-128.0,Caesars,77.3,114.0,True,105.0,True,79.1,70.8,73.0,51.5,17.4,72.4,61.5,27.1,2428.0,22.78,24.05,21.5,-200.0,125.0,4.5,275.0,-475.0,False,,,,,,,,,,,,,,
BESTBET,236738080,,,,,,,,Matteo Arnaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Landaluce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Matteo Arnaldi,105.0,DraftKings,105.0,0.5020915797837848,0.46492659053833607,-128.0,0.4979084202162152,0.5350734094616639,,0.02027181231569932,D,False
